Name,Price,Rating
PRO365 Coffee Frother 50 W Hand Blender,₹266,3.7
WONDERCHEF WCNBD02B2ULT01 Nutri Blend 400 W Juicer Mixe...,"₹2,848",4.2
Pigeon Glory Combo 550 W Mixer Grinder with Pressure Co...,"₹2,304",4
Panasonic 20 L Grill Microwave Oven,"₹7,890",4.4
"Pigeon JOY SINGLE POT 
AUTOMATIC MULTI COOKER WARMER El...","₹1,299",4
Flipkart SmartBuy TA01101 700 W Pop Up Toaster,"₹1,048",4.2
"Qozent Digital Kitchen Weighing Scale ,Food Kitchen Sca...",₹499,4.1
"Butterfly Plus Rapid 750 W Mixer Grinder (5 Jars, Ink B...","₹3,698",4.3
Butterfly Thunder Mixer Grinder 750 W Juicer Mixer Grin...,"₹3,300",4.1
KENT 16091 700 ml Bottle and Vouge Electric Kettle,"₹1,701",4.4
Aastha Electric 7 Egg Boiler Cooker Electric 7 Egg Boil...,₹369,4.1
"Butterfly Arrow 500 W Mixer Grinder (3 Jars, Grey)","₹1,898",4
Kelo Vegetable Weight Machine- 10g-50Kg Digital Hanging...,₹399,4
Home&ME HM-NC-19-13-S Multi Cooker Electric Kettle (1.2...,₹836,3.9
Tryviz Egg Boiler Electric Automatic Off 7 Egg Poacher ...,₹329,4.1
"Butterfly Rapid 750 W Juicer Mixer Grinder (4 Jars, Bla...","₹3,198",4.1
Deal Nut DC000-0 Electric Kettle,₹622,4.8
NMS TARDERAS Electronic Kitchen Weighing Scale Weighing...,₹259,3.8
Sansui ProHome Pronto 400 W Juicer Mixer Grinder (Black...,"₹1,949",4.1
Panasonic 20 L Solo Microwave Oven,"₹5,690",4.3
Panasonic 20 L Solo Microwave Oven,"₹5,090",4.3
BOSCH MGM8642BIN TrueMixx Pro 750 W Mixer Grinder (4 Ja...,"₹6,150",4.4
BAJAJ Majesty New RCX 5 Electric Rice Cooker,"₹1,899",4
Elica 60 cm 1100 m3/hr Auto Clean Wall Mounted Chimney,"₹14,999",4.1
Flipkart SmartBuy Favouritr Smart Electric Kettle,₹699,3.9
MODERN Chutney Jar Mixer Juicer Jar,₹299,3.8
cello Quick Boil - 900 Electric Kettle,"₹1,199",4.3
Elica WDFL 606 HAC MS NERO Auto Clean Wall Mounted Chim...,"₹11,990",4.1
Leyden Heavy Duty Personal Digital Weight Machine With ...,₹649,4.1
Flipkart SmartBuy Prime PowerChef 500 W Mixer Grinder (...,"₹3,299",4
nolunt Egg Bolier01-253 Egg Cooker,₹329,4.1
Natraj Aatamaker Viva Atta Chakki Fully Automatic Domes...,"₹16,990",4.1
PHILIPS HL7505/02 Daily Collection 500 W Mixer Grinder ...,"₹2,848",4.3
Preethi Platinum select MG226 Blue Leaf 750 W Mixer Gri...,"₹3,800",4.1
Panasonic SR-WA22H(E) Electric Rice Cooker,"₹2,306",3.9
varada Air Fryer Over 12Liter Air Fryer,"₹9,999",5
Surya Special Non Stick Gas Toaster Heavy Toast,₹279,3.4
GESTOR Style Dlx Powerful Copper Motor with Unbreakable...,"₹1,899",4.1
Case Plus Stainless Steel Puri Press/Roti & Khakhra Mak...,₹699,5
varada VA-AFD6.5L BLACK Air Fryer,"₹5,899",4.5
Preethi MG-218 Zodiac 750 W Juicer Mixer Grinder (5 Jar...,"₹9,480",4.4
Maxotech PRO Powerful Hybrid 100% Copper Motor ZACK 550...,"₹1,329",4.3
Preethi Blue Leaf Expert MG 214 750 W Juicer Mixer Grin...,"₹5,500",4.3
Panasonic 20 L Grill Microwave Oven,"₹7,890",4.4
IFB 23 L Convection Microwave Oven,"₹10,900",4.4
Sujata POWERMATIC PLUS Juicer Mixer Grinder 900 Juicer ...,"₹5,598",4.5
JK Sales 400A Electronic Digital 1Gram-10 Kg Weight Sca...,₹340,3.6
"Butterfly Plus Rapid 750 W Mixer Grinder (5 Jars, Ink B...","₹3,698",4.3
ZYNATY Electronic Digital 1Gram-10 Kg Weight Scale Lcd ...,₹665,3.6
ORPAT HHB-100EWOB 250 W Hand Blender,₹849,4.3
Shopixo tainless steel Manual puri maker press machine ...,₹399,3.2
"Butterfly Arrow 500 W Mixer Grinder (3 Jars, Grey)","₹1,898",4
RTB Digital Kitchen Weighing Machine Multipurpose Elect...,₹669,3.4
Laforte Electric Kettle Red EKLF001R Electric Kettle,₹890,4.2
"Jones Thunder Pro 700 W Mixer Grinder (Blue,  White, 3 ...","₹1,994",4.1
"Butterfly Rapid 750 W Juicer Mixer Grinder (4 Jars, Bla...","₹3,198",4.1
Rn enterprises digimax star mega Electric Kettle,₹599,3.7
Pigeon Electric Kettle Hot - 1.5 Liter Electric Kettle,₹795,4.1
London Britches Double Layer Egg Boiler 14 Egg Electric...,₹379,4.1
Panasonic 20 L Solo Microwave Oven,"₹5,090",4.3
AGARO _ Electric Kettle,"₹1,199",4.4
Curify 10g-50Kg Digital Hanging Luggage Fishing Portabl...,₹228,3.9
OTC Indian Chapati/Roti/ with 1 year Warranty || Stainl...,"₹1,150",3.9
Elica 60 cm 1100 m3/hr Auto Clean Wall Mounted Chimney,"₹14,999",4.1
BAJAJ Majesty ICX 7 Induction Cooktop,"₹3,000",4.3
DEZEEN ® Present's Stainless Steel Mixer Grinder Jar - ...,₹599,3.4
HAVELLS INSTA COOK PT Induction Cooktop,"₹2,999",4.3
Elica WDFL 606 HAC MS NERO Auto Clean Wall Mounted Chim...,"₹11,990",4.1
KENT 16050 150 W Hand Blender,"₹1,299",4.3
cello Grind-N-Mix Elite+ ELITE + MIXER GRINDER 500 Mixe...,"₹2,499",4.2
vistara Mixer Grinder & 1000 W Dry Iron Super Combo 500...,"₹1,799",4
varada Air Fryer Over 12Liter Air Fryer,"₹9,999",5
BAJAJ ICX Pearl Induction Cooktop,"₹2,698",4.3
smartthings Digital 10kg x 1g Kitchen Scale SF_400 Bala...,₹249,4
"Wengvo Fast Boiling Tea Kettle , Stainless Steel Finish...",₹622,4
"Butterfly Plus Rapid 750 W Mixer Grinder (5 Jars, Ink B...","₹3,698",4.3
Wuze Multipurpose Portable Electronic Digital Weighing ...,₹279,4.1
Patsung Friendly Roti and Khakra Maker,₹429,3.7
